activityID	activity	allocation	date	loginUser_id	year_id	compID_id	currency_id	projectID_id	subcompID_id
85	Rehabilitation and expansion of low voltage lines in  5  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:24:58.6851550 +00:00	5	18	10	2	ADF-16 and TSF-	34
86	Rehabilitation and expansion of low voltage lines in  6  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:25:26.8268530 +00:00	5	18	10	2	ADF-16 and TSF-	34
87	Rehabilitation and expansion of low voltage lines in  7  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:25:53.2768380 +00:00	5	18	10	2	ADF-16 and TSF-	34
88	Rehabilitation and expansion of low voltage lines in  8  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:26:21.8082950 +00:00	5	18	10	2	ADF-16 and TSF-	34
89	Rehabilitation and expansion of low voltage lines in  9  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:26:51.6455820 +00:00	5	18	10	2	ADF-16 and TSF-	34
90	Rehabilitation and expansion of low voltage lines in  10 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:27:29.7704790 +00:00	5	18	10	2	ADF-16 and TSF-	34
91	Rehabilitation and expansion of low voltage lines in  11 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:28:00.8367850 +00:00	5	18	10	2	ADF-16 and TSF-	34
92	Rehabilitation and expansion of low voltage lines in  12 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:28:31.5366740 +00:00	5	18	10	2	ADF-16 and TSF-	34
93	Rehabilitation and expansion of low voltage lines in  13 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:28:59.2064730 +00:00	5	18	10	2	ADF-16 and TSF-	34
94	Rehabilitation and expansion of low voltage lines in  14 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:29:37.6246530 +00:00	5	18	10	2	ADF-16 and TSF-	34
95	Rehabilitation and expansion of low voltage lines in  15 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:30:06.7614810 +00:00	5	18	10	2	ADF-16 and TSF-	34
96	Rehabilitation and expansion of low voltage lines in  16 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:30:41.3564170 +00:00	5	18	10	2	ADF-16 and TSF-	34
97	Rehabilitation and expansion of low voltage lines in  17 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:31:10.1674290 +00:00	5	18	10	2	ADF-16 and TSF-	34
98	Rehabilitation and expansion of low voltage lines in  18 secondary substation  (11/0.4kV)	0.00	2025-01-14 14:31:42.1675340 +00:00	5	18	10	2	ADF-16 and TSF-	34
99	Rehabilitation and expansion of low voltage lines in  19  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:32:09.2924650 +00:00	5	18	10	2	ADF-16 and TSF-	34
100	Rehabilitation and expansion of low voltage lines in  20  secondary substation  (11/0.4kV)	0.00	2025-01-14 14:32:35.9345330 +00:00	5	18	10	2	ADF-16 and TSF-	34
101	Supply and installation of 10 compact substations  in the GBA	0.00	2025-01-14 14:34:05.2336370 +00:00	5	18	10	2	ADF-16 and TSF-	35
102	Supply and installation of countrywide data management system	0.00	2025-01-14 14:38:59.4116110 +00:00	5	18	10	2	ADF-16 and TSF-	36
103	Supply and Installation of  Computerized Plant Management System	0.00	2025-01-14 14:39:51.8720510 +00:00	5	18	10	2	ADF-16 and TSF-	36
104	Construction of Transformer Repair Mechanical workshop	0.00	2025-01-14 14:41:18.4796460 +00:00	5	18	10	2	ADF-16 and TSF-	37
