type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
Customs, Port Clearance & Delivery to Site	Materials  Cleared & Delivered on site	GEAP-Delivery	2025-04-14 11:10:50.8408570 +00:00	5	proc	GEAP 1
Distribution Transformer Installation Works	Distribution Transformer Installation Works complete	GEAP-DTRworks	2025-04-14 11:22:39.0876690 +00:00	5	Tec	GEAP 1
Electromechanical Designs	Electromechanical Designs conducted	GEAP-ElectroDes	2025-04-14 11:05:13.0013780 +00:00	5	Tec	GEAP 1
Energization	Energization conducted	GEAP-Energy	2025-04-14 11:42:17.8443230 +00:00	5	Tec	GEAP 1
MV Pole erection & dressing	Pole erection & dressing completed	GEAP-Erect-Dres	2025-04-14 11:20:50.0023460 +00:00	5	Tec	GEAP 1
Factory Acceptance Test (FAT)	Factory Acceptance Test (FAT) conducted	GEAP-FATS	2025-04-14 11:08:44.3235380 +00:00	5	proc	GEAP 1
Commissioning	Commissioning conducted	GEAP-finalCom	2025-04-14 11:40:59.3825230 +00:00	5	Tec	GEAP 1
LV Pole erection & dresssing	LV Pole erection & dresssing completed	GEAP-LVerection	2025-04-14 11:24:48.1915940 +00:00	5	Tec	GEAP 1
LV Pole foundation	Pole foundation completed	GEAP-LVPole	2025-04-14 11:23:39.9696890 +00:00	5	Tec	GEAP 1
LV Line stringing works	Line stringing works completed	GEAP-LVstringin	2025-04-14 11:25:38.0380100 +00:00	5	Tec	GEAP 1
Manufacturing	Manufacturing Done	GEAP-Manuf	2025-04-14 11:08:03.2159250 +00:00	5	proc	GEAP 1
MV Line stringing works	Line stringing works completed	GEAP-MVstring	2025-04-14 11:21:49.2128050 +00:00	5	Tec	GEAP 1
Resettlement Activities by Employer (Relocation/compensation of Project Affected Persons (PAPs)	Number of PAP resettled /Relocated	GEAP-PAP	2025-04-14 11:12:02.1967860 +00:00	5	ESS	GEAP 1
